Date,S&P500,Bond Rate,PrDec,PrInc,Dates,IVOL_PUT_12M_MOV_AVG_30D_HIST,IVOL_CALL_12M_MOV_AVG_30D_HIST,S&P500_Return,Day,Regime,Strategy,OptionEnhanced_Portfolio,Stock_Value,Option_Value,BuyHold_Portfolio,BuyHold_Peak,BuyHold_Drawdown,OptionEnhanced_Peak,OptionEnhanced_Drawdown,BuyHold_daily_return,OptionEnhanced_daily_return,BuyHold_excess_return,OptionEnhanced_excess_return,S&P500_Price
2019-01-03,2447.89,0.02355,0.14518,0.12331,1/3/19,18.8515,18.8515,-0.02475667621502542,0,0,BUY_PUT,100009.34523809524,0.0,0.0,97524.33237849746,97524.33237849746,0.0,100009.34523809524,0.0,,,,,2447.89
2019-01-04,2531.94,0.02358,0.14518,0.12331,1/4/19,18.8892,18.8892,0.0343356931888279,1,0,BUY_PUT,100018.70325539967,0.0,0.0,100872.8979334908,100872.8979334908,0.0,100018.70325539967,0.0,0.034335693188827676,9.35714285714706e-05,0.034243319966714036,1.1982064578308638e-06,2531.94
2019-01-07,2549.69,0.02353,0.14518,0.12331,1/7/19,18.8932,18.8932,0.00701043468644591,2,0,BUY_PUT,100028.04230336632,0.0,0.0,101580.06079608608,101580.06079608608,0.0,100028.04230336632,0.0,0.00701043468644591,9.33730158729773e-05,0.00691806146433227,9.997937593375639e-07,2549.69
2019-01-08,2574.41,0.024,0.14518,0.12331,1/8/19,18.9021,18.9021,0.009695296290921585,3,0,BUY_PUT,100037.5687835857,0.0,0.0,102564.90958275397,102564.90958275397,0.0,100037.5687835857,0.0,0.009695296290921585,9.523809523814819e-05,0.009602923068807945,2.864873124508449e-06,2574.41
2019-01-09,2584.96,0.0239,0.13565,0.11308,1/9/19,18.8907,18.8907,0.0040980263439003295,4,0,BUY_PUT,100047.05647364096,0.0,0.0,102985.22328418384,102985.22328418384,0.0,100047.05647364096,0.0,0.0040980263439003295,9.484126984116159e-05,0.00400565312178669,2.4680477275218493e-06,2584.96
2019-01-10,2596.64,0.02375,0.13565,0.11308,1/10/19,18.907,18.907,0.004518445159692908,5,0,BUY_PUT,100056.48551170148,0.0,0.0,103450.55636785216,103450.55636785216,0.0,100056.48551170148,0.0,0.004518445159692908,9.424603174612578e-05,0.004426071937579268,1.8728096324860388e-06,2596.64
2019-01-11,2596.26,0.0237,0.13565,0.11308,1/11/19,18.9072,18.9072,-0.00014634296629478794,6,0,BUY_PUT,100065.89558593414,0.0,0.0,103435.41710656845,103450.55636785216,-0.014634296629467691,100065.89558593414,0.0,-0.0001463429662946769,9.404761904763248e-05,-0.00023871618840831665,1.674396933992739e-06,2596.26
2019-01-14,2582.61,0.0236,0.13565,0.11308,1/14/19,18.9263,18.9263,-0.005257562801876614,7,0,BUY_PUT,100075.26683647315,0.0,0.0,102891.59890519237,103450.55636785216,-0.5403136360835337,100075.26683647315,0.0,-0.005257562801876614,9.365079365086793e-05,-0.005349936023990254,1.2775715372281837e-06,2582.61
2019-01-15,2610.3,0.02383,0.13565,0.11308,1/15/19,18.9112,18.9112,0.010721711756711327,8,0,BUY_PUT,100084.7303031744,0.0,0.0,103994.772970841,103994.772970841,0.0,100084.7303031744,0.0,0.010721711756711327,9.456349206349302e-05,0.010629338534597688,2.190269949853274e-06,2610.3
2019-01-16,2616.1,0.02363,0.11825,0.08829,1/16/19,18.9066,18.9066,0.002221966823736654,9,1,BUY_CALL,100084.7303031744,90076.25727285695,10008.47303031744,104225.84590622423,104225.84590622423,0.0,100084.7303031744,0.0,0.002221966823736654,0.0,0.0021295936016230144,-9.237322211363974e-05,2616.1
2019-01-17,2635.96,0.02355,0.11825,0.08829,1/17/19,18.9233,18.9233,0.007591452926111408,10,1,BUY_CALL,101270.01844514256,90760.06693970415,10509.951505438412,105017.07150910549,105017.07150910549,0.0,101270.01844514256,0.0,0.00759145292611163,0.011842846939565277,0.007499079703997991,0.011750473717451637,2635.96
2019-01-18,2670.71,0.02348,0.11825,0.08829,1/18/19,18.8881,18.8881,0.013183052853609212,11,1,BUY_CALL,103367.62201801159,91956.56169916737,11411.060318844216,106401.5171133413,106401.5171133413,0.0,103367.62201801159,0.0,0.013183052853609212,0.02071297709899489,0.013090679631495572,0.02062060387688125,2670.71
2019-01-22,2632.9,0.02345,0.11825,0.08829,1/22/19,18.8744,18.8744,-0.014157284018107563,12,1,BUY_CALL,101010.90095452486,90654.70653786363,10356.19441666122,104895.16061561019,106401.5171133413,-1.4157284018107563,103367.62201801159,-2.279941259629714,-0.014157284018107563,-0.02279941259629714,-0.014249657240221203,-0.02289178581841078,2632.9
2019-01-23,2638.7,0.02353,0.12229,0.09312,1/23/19,18.8193,18.8193,0.0022028941471379238,13,1,BUY_CALL,101322.26154517954,90854.4092603064,10467.852284873137,105126.23355099342,106401.5171133413,-1.1985576869072423,103367.62201801159,-1.9787245105393314,0.0022028941471379238,0.003082445436209502,0.002110520925024284,0.0029900722140958624,2638.7
2019-01-24,2642.33,0.02305,0.12229,0.09312,1/24/19,18.755,18.755,0.001375677416909804,14,1,BUY_CALL,101464.83136397063,90979.3956193525,10485.435744618142,105270.85333641431,106401.5171133413,-1.0626387739590015,103367.62201801159,-1.8407994852676413,0.001375677416909804,0.001407092741682714,0.0012833041947961643,0.0013147195195690742,2642.33
2019-01-25,2664.76,0.02328,0.12229,0.09312,1/25/19,18.6906,18.6906,0.0084887201825663,15,1,BUY_CALL,102808.44713083078,91751.69425114417,11056.752879686615,106164.4681537671,106401.5171133413,-0.22278719890965748,103367.62201801159,-0.5409574838467046,0.0084887201825663,0.013242182032909389,0.00839634696045266,0.013149808810795749,2664.76
2019-01-28,2643.85,0.02333,0.12229,0.09312,1/28/19,18.6377,18.6377,-0.0078468605052614,16,1,BUY_CALL,101477.56028267833,91031.73150523406,10445.82877744427,105331.41038154923,106401.5171133413,-1.0057250693635944,103367.62201801159,-1.828485263019719,-0.0078468605052614,-0.012945306395483303,-0.007939233727375039,-0.013037679617596942,2643.85
2019-01-29,2640.0,0.02365,0.12229,0.09312,1/29/19,18.5902,18.5902,-0.001456209694195909,17,1,BUY_CALL,101217.29258230816,90899.1702153367,10318.122366971462,105178.02576064829,106401.5171133413,-1.1498814921874767,103367.62201801159,-2.0802736811810774,-0.001456209694195909,-0.0025647808209535716,-0.0015485829163095488,-0.0026571540430672114,2640.0
