Date,S&P500,Bond Rate,PrDec,PrInc,Dates,IVOL_PUT_12M_MOV_AVG_30D_HIST,IVOL_CALL_12M_MOV_AVG_30D_HIST,S&P500_Return,Regime,Cash_Return,BuyHold_Portfolio,RegimeSwitch_Portfolio,Regime_Return,BuyHold_Peak,BuyHold_Drawdown,RegimeSwitch_Peak,RegimeSwitch_Drawdown
2019-01-03,2447.89,0.02355,0.14518,0.12331,1/3/19,18.8515,18.8515,-0.02475667621502542,0,9.345238095238095e-05,97524.33237849746,100009.34523809524,9.345238095238095e-05,97524.33237849746,0.0,100009.34523809524,0.0
2019-01-04,2531.94,0.02358,0.14518,0.12331,1/4/19,18.8892,18.8892,0.0343356931888279,0,9.357142857142858e-05,100872.8979334908,100018.70325539965,9.357142857142858e-05,100872.8979334908,0.0,100018.70325539965,0.0
2019-01-07,2549.69,0.02353,0.14518,0.12331,1/7/19,18.8932,18.8932,0.00701043468644591,0,9.337301587301586e-05,101580.06079608608,100028.04230336631,9.337301587301586e-05,101580.06079608608,0.0,100028.04230336631,0.0
2019-01-08,2574.41,0.024,0.14518,0.12331,1/8/19,18.9021,18.9021,0.009695296290921585,0,9.523809523809524e-05,102564.90958275397,100037.56878358567,9.523809523809524e-05,102564.90958275397,0.0,100037.56878358567,0.0
2019-01-09,2584.96,0.0239,0.13565,0.11308,1/9/19,18.8907,18.8907,0.0040980263439003295,0,9.484126984126985e-05,102985.22328418384,100047.05647364094,9.484126984126985e-05,102985.22328418384,0.0,100047.05647364094,0.0
2019-01-10,2596.64,0.02375,0.13565,0.11308,1/10/19,18.907,18.907,0.004518445159692908,0,9.424603174603175e-05,103450.55636785216,100056.48551170145,9.424603174603175e-05,103450.55636785216,0.0,100056.48551170145,0.0
2019-01-11,2596.26,0.0237,0.13565,0.11308,1/11/19,18.9072,18.9072,-0.00014634296629478794,0,9.404761904761905e-05,103435.41710656845,100065.89558593411,9.404761904761905e-05,103450.55636785216,-0.014634296629467691,100065.89558593411,0.0
2019-01-14,2582.61,0.0236,0.13565,0.11308,1/14/19,18.9263,18.9263,-0.005257562801876614,0,9.365079365079364e-05,102891.59890519237,100075.26683647312,9.365079365079364e-05,103450.55636785216,-0.5403136360835337,100075.26683647312,0.0
2019-01-15,2610.3,0.02383,0.13565,0.11308,1/15/19,18.9112,18.9112,0.010721711756711327,0,9.456349206349207e-05,103994.772970841,100084.73030317438,9.456349206349207e-05,103994.772970841,0.0,100084.73030317438,0.0
2019-01-16,2616.1,0.02363,0.11825,0.08829,1/16/19,18.9066,18.9066,0.002221966823736654,1,9.376984126984128e-05,104225.84590622423,100307.11525347066,0.002221966823736654,104225.84590622423,0.0,100307.11525347066,0.0
2019-01-17,2635.96,0.02355,0.11825,0.08829,1/17/19,18.9233,18.9233,0.007591452926111408,1,9.345238095238095e-05,105017.07150910549,101068.59199707143,0.007591452926111408,105017.07150910549,0.0,101068.59199707143,0.0
2019-01-18,2670.71,0.02348,0.11825,0.08829,1/18/19,18.8881,18.8881,0.013183052853609212,1,9.317460317460317e-05,106401.5171133413,102400.9845872087,0.013183052853609212,106401.5171133413,0.0,102400.9845872087,0.0
2019-01-22,2632.9,0.02345,0.11825,0.08829,1/22/19,18.8744,18.8744,-0.014157284018107563,1,9.305555555555555e-05,104895.16061561019,100951.26476467373,-0.014157284018107563,106401.5171133413,-1.4157284018107563,102400.9845872087,-1.4157284018107563
2019-01-23,2638.7,0.02353,0.12229,0.09312,1/23/19,18.8193,18.8193,0.0022028941471379238,1,9.337301587301586e-05,105126.23355099342,101173.64971497,0.0022028941471379238,106401.5171133413,-1.1985576869072423,102400.9845872087,-1.1985576869072534
2019-01-24,2642.33,0.02305,0.12229,0.09312,1/24/19,18.755,18.755,0.001375677416909804,1,9.146825396825398e-05,105270.85333641431,101312.83202006923,0.001375677416909804,106401.5171133413,-1.0626387739590015,102400.9845872087,-1.0626387739590126
2019-01-25,2664.76,0.02328,0.12229,0.09312,1/25/19,18.6906,18.6906,0.0084887201825663,1,9.238095238095237e-05,106164.4681537671,102172.84830199093,0.0084887201825663,106401.5171133413,-0.22278719890965748,102400.9845872087,-0.22278719890967968
2019-01-28,2643.85,0.02333,0.12229,0.09312,1/28/19,18.6377,18.6377,-0.0078468605052614,1,9.257936507936508e-05,105331.41038154923,101371.11221393997,-0.0078468605052614,106401.5171133413,-1.0057250693635944,102400.9845872087,-1.0057250693636166
2019-01-29,2640.0,0.02365,0.12229,0.09312,1/29/19,18.5902,18.5902,-0.001456209694195909,1,9.384920634920635e-05,105178.02576064829,101223.49461762261,-0.001456209694195909,106401.5171133413,-1.1498814921874767,102400.9845872087,-1.14988149218751
2019-01-30,2681.05,0.02365,0.11251,0.07743,1/30/19,18.5069,18.5069,0.015549242424242493,1,9.384920634920635e-05,106813.46438090384,102797.44327446102,0.015549242424242493,106813.46438090384,0.0,102797.44327446102,0.0
2019-01-31,2704.1,0.0234,0.11251,0.07743,1/31/19,18.3892,18.3892,0.008597377892989533,1,9.285714285714286e-05,107731.78009824584,103681.23174072472,0.008597377892989533,107731.78009824584,0.0,103681.23174072472,0.0
2019-02-01,2706.53,0.0234,0.11251,0.07743,2/1/19,18.2667,18.2667,0.000898635405495396,1,9.285714285714286e-05,107828.59169013916,103774.40336645232,0.000898635405495396,107828.59169013916,0.0,103774.40336645232,0.0
